Fold;Dataset;Model;AUC;F-measure;Precision;Recall;MCC;FNR;TNR;FPR;Anomalies;TP
16;Full dataset;SVM;0.21247088228792954;0.24778132765353217;0.1553873552983081;0.6112084063047285;-0.36116784554652553;0.38879159369527144;0.07912621359223301;0.920873786407767;571;349
17;Full dataset;SVM;0.27366399738519365;0.3866995073891626;0.3007662835249042;0.5413793103448276;-0.35940493752234803;0.4586206896551724;0.13507109004739337;0.8649289099526066;290;157
18;Full dataset;SVM;0.23176842429848907;0.23182297154899895;0.16491754122938532;0.3900709219858156;-0.34529048381995103;0.6099290780141844;0.24320652173913043;0.7567934782608695;282;110
19;Full dataset;SVM;0.3245284838988798;0.36240437158469946;0.24709388971684054;0.6795081967213115;-0.27326540767418994;0.32049180327868854;0.09914407988587731;0.9008559201141226;1220;829
20;Full dataset;SVM;0.2730573287916913;0.3099561678146525;0.21001272804412388;0.5913978494623656;-0.265145978825439;0.4086021505376344;0.15936794582392777;0.8406320541760722;837;495
21;Full dataset;SVM;0.3300886180831377;0.5539267015706806;0.4039709812905689;0.880932556203164;-0.13583764701636772;0.11906744379683597;0.04584352078239609;0.9541564792176039;1201;1058
22;Full dataset;SVM;0.2823277381747852;0.29461756373937675;0.2378048780487805;0.3870967741935484;-0.2797970126354695;0.6129032258064516;0.3234100135317997;0.6765899864682002;403;156
23;Full dataset;SVM;0.33813964772124616;0.289110005527916;0.1784373933810986;0.7612809315866085;-0.23081892449013378;0.23871906841339155;0.06666666666666667;0.9333333333333332;687;523
24;Full dataset;SVM;0.3678552073703337;0.4428274428274429;0.29790209790209793;0.8623481781376519;-0.2635838399955421;0.13765182186234817;0.011811023622047244;0.9881889763779528;247;213
25;Full dataset;SVM;0.22877145438121047;0.21153846153846156;0.16176470588235292;0.3055555555555556;-0.38965302346434055;0.6944444444444444;0.2809083263246426;0.7190916736753574;540;165
26;Full dataset;SVM;0.2374851290308153;0.4129712834537996;0.31281444214264575;0.6074712643678161;-0.35294657665689255;0.39252873563218393;0.09649805447470819;0.9035019455252918;1740;1057
27;Full dataset;SVM;0.38145061729185104;0.5221241717174889;0.37471264367816093;0.8607372126734315;-0.16216582294370618;0.13926278732656866;0.04738360115368768;0.9526163988463123;9658;8313
28;Full dataset;SVM;0.3729288214702451;0.42955457847447903;0.2843583902809415;0.877734375;-0.11166190170499282;0.122265625;0.057342890481746955;0.942657109518253;2560;2247
29;Full dataset;SVM;0.3538078355852819;0.4416103257529195;0.29779297482126205;0.8540861812778603;-0.12198806119803449;0.14591381872213968;0.0694768639296993;0.9305231360703007;3365;2874
30;Full dataset;SVM;0.36322803418134486;0.335319697213722;0.24237485448195575;0.5438871473354232;-0.17685743655639205;0.4561128526645768;0.2746321890325457;0.7253678109674543;1914;1041
31;Full dataset;SVM;0.36943769640030333;0.5158706615247701;0.3809419496166484;0.7988056959118053;-0.22269587965114412;0.2011943040881948;0.056112224448897796;0.9438877755511023;2177;1739
32;Full dataset;SVM;0.33573370554678966;0.515552614162806;0.399077868852459;0.72803738317757;-0.17945694563049566;0.2719626168224299;0.12949907235621522;0.870500927643785;2140;1558
1;Full dataset;KNN;0.5522853465778231;0.349889059566479;0.5163727959697733;0.2645844088797109;0.04473236202954926;0.7354155911202891;0.7739048516250588;0.22609514837494113;7748;2050
2;Full dataset;KNN;0.5592424838030129;0.2871049763893934;0.45550945136007376;0.2096106926912061;0.08354187598445155;0.7903893073087939;0.8552962078049379;0.1447037921950622;9427;1976
3;Full dataset;KNN;0.6407116476586551;0.38581314878892736;0.6155969634230504;0.2809448818897638;0.15278044675289068;0.7190551181102363;0.8446737311767987;0.15532626882320133;3175;892
4;Full dataset;KNN;0.5864237969574432;0.4093325457767277;0.6081614743308469;0.30847985755619856;0.11457997250133287;0.6915201424438014;0.7919869555089681;0.20801304449103192;4493;1386
